Name,Average.coverage,Reference.length
k121_1708036_69,7.864,3180
k121_15532_6,15.476,3180
k121_686909_81,6.533,3165
k121_1643710_7,3.216,3111
k121_64041_9,7.231,3054
k121_466249_1,11.553,2379
k121_357241_1,9.648,2232
k121_764851_3,0.759,2001
k121_1229424_2,47.250,1974
k121_580500_2,31.098,1920
k121_1049150_7,32.421,1920
k121_566136_4,0.914,1644
k121_1638165_15,0.545,1527
k121_1246460_4,3.388,1491
k121_302252_1,9.999,1326
k121_118679_6,0.314,1305
k121_1488741_1,0.390,1296
k121_731759_3,6.688,1239
k121_1365491_2,7.193,1218
k121_724130_3,26.842,1215
k121_1299587_5,16.928,1188
k121_1655639_2,0.651,1176
k121_965840_2,6.853,1176
k121_1643710_6,0.080,1170
k121_1423813_2,13.472,1167
k121_68825_2,15.509,1068
k121_1273179_10,0.253,1062
k121_1057301_2,5.417,1008
k121_1046017_2,0.000,1005
k121_1259309_2,34.705,981
k121_365816_2,16.575,966
k121_77453_2,0.568,942
k121_401236_1,0.756,930
k121_1589252_3,0.000,927
k121_997836_1,0.328,915
k121_671215_2,0.128,906
k121_500579_3,21.423,897
k121_1809809_1,4.195,891
k121_858589_5,9.596,888
k121_538461_3,5.043,885
k121_736202_1,6.073,885
k121_79954_69,3.359,882
k121_1519353_3,4.570,882
k121_58970_1,16.974,882
k121_1762969_1,8.514,876
k121_252136_5,16.018,876
k121_255520_3,2.199,870
k121_50166_2,0.197,870
k121_1686166_1,10.113,867
k121_660679_2,3.465,864
k121_1269806_2,0.112,852
k121_185419_2,24.590,852
k121_790124_1,2.764,849
k121_895379_1,41.905,849
k121_495553_2,2.542,849
k121_1494871_1,3.136,843
k121_1704035_1,2.882,831
k121_981513_1,23.343,834
k121_115983_6,1.330,828
k121_670656_5,1.686,825
k121_255479_3,2.703,825
k121_893075_2,2.364,825
k121_724130_4,19.787,822
k121_1330000_1,22.504,822
k121_1085118_2,0.000,819
k121_270992_7,0.875,816
k121_1292698_3,12.234,816
k121_178939_6,8.614,816
k121_1325277_1,0.466,804
k121_790052_6,0.000,804
k121_210290_1,8.682,798
k121_205890_1,3.160,783
k121_1602733_1,3.640,777
k121_667899_1,4.031,771
k121_816922_1,40.178,768
k121_50545_1,0.500,762
k121_797356_1,0.398,744
k121_780262_2,0.000,741
k121_109860_2,0.764,738
k121_1272857_1,15.985,732
k121_40257_1,0.830,723
k121_339048_1,10.113,714
k121_1082478_2,6.913,699
k121_238593_1,5.443,696
k121_1294233_4,2.642,681
k121_942206_1,0.127,675
k121_370213_1,1.905,654
k121_1290865_1,3.882,642
k121_42076_1,0.000,639
k121_900900_5,10.232,633
k121_1288254_1,2.758,621
k121_611494_1,1.124,621
k121_479849_1,1.604,606
k121_1282450_2,0.000,597
k121_1092380_2,8.089,597
k121_401896_1,4.506,534
k121_1956670_1,3.467,525
k121_438003_1,1.228,474
k121_1788674_3,10.282,465
k121_796109_1,15.869,360
k121_906279_2,0.000,357
k121_1361241_2,0.969,324
