Name,Average.coverage,Reference.length
k121_1708036_69,5.105,3180
k121_15532_6,1.931,3180
k121_686909_81,3.667,3165
k121_1643710_7,2.349,3111
k121_64041_9,3.057,3054
k121_466249_1,5.334,2379
k121_357241_1,5.268,2232
k121_764851_3,0.677,2001
k121_1229424_2,0.098,1974
k121_580500_2,0.807,1920
k121_1049150_7,0.834,1920
k121_566136_4,0.480,1644
k121_1638165_15,0.000,1527
k121_1246460_4,0.311,1491
k121_302252_1,6.611,1326
k121_118679_6,0.043,1305
k121_1488741_1,0.062,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.051,1215
k121_1299587_5,0.125,1188
k121_1655639_2,0.230,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.097,1170
k121_1423813_2,1.028,1167
k121_68825_2,2.119,1068
k121_1273179_10,0.335,1062
k121_1057301_2,0.842,1008
k121_1046017_2,0.000,1005
k121_1259309_2,5.452,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.241,930
k121_1589252_3,0.129,927
k121_997836_1,0.328,915
k121_671215_2,4.967,906
k121_500579_3,1.957,897
k121_1809809_1,0.000,891
k121_858589_5,12.248,888
k121_538461_3,3.233,885
k121_736202_1,1.167,885
k121_79954_69,1.060,882
k121_1519353_3,1.388,882
k121_58970_1,1.681,882
k121_1762969_1,8.019,876
k121_252136_5,226.231,876
k121_255520_3,0.215,870
k121_50166_2,0.154,870
k121_1686166_1,0.692,867
k121_660679_2,0.868,864
k121_1269806_2,0.000,852
k121_185419_2,0.606,852
k121_790124_1,0.000,849
k121_895379_1,2.883,849
k121_495553_2,0.728,849
k121_1494871_1,0.000,843
k121_1704035_1,1.392,831
k121_981513_1,1.637,834
k121_115983_6,0.362,828
k121_670656_5,9.973,825
k121_255479_3,1.799,825
k121_893075_2,0.715,825
k121_724130_4,0.000,822
k121_1330000_1,5.443,822
k121_1085118_2,0.000,819
k121_270992_7,0.000,816
k121_1292698_3,1.540,816
k121_178939_6,0.825,816
k121_1325277_1,0.000,804
k121_790052_6,0.373,804
k121_210290_1,0.000,798
k121_205890_1,1.462,783
k121_1602733_1,0.000,777
k121_667899_1,0.000,771
k121_816922_1,2.578,768
k121_50545_1,0.000,762
k121_797356_1,0.000,744
k121_780262_2,3.340,741
k121_109860_2,0.667,738
k121_1272857_1,5.937,732
k121_40257_1,0.483,723
k121_339048_1,6.931,714
k121_1082478_2,1.124,699
k121_238593_1,1.253,696
k121_1294233_4,1.225,681
k121_942206_1,0.000,675
k121_370213_1,1.823,654
k121_1290865_1,1.318,642
k121_42076_1,0.388,639
k121_900900_5,0.000,633
k121_1288254_1,2.449,621
k121_611494_1,3.319,621
k121_479849_1,0.000,606
k121_1282450_2,0.000,597
k121_1092380_2,0.779,597
k121_401896_1,0.000,534
k121_1956670_1,1.682,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,2.244,360
k121_906279_2,0.790,357
k121_1361241_2,2.213,324
