Name,Average.coverage,Reference.length
k121_1708036_69,5.112,3180
k121_15532_6,1.165,3180
k121_686909_81,4.423,3165
k121_1643710_7,1.255,3111
k121_64041_9,4.246,3054
k121_466249_1,5.615,2379
k121_357241_1,5.917,2232
k121_764851_3,0.137,2001
k121_1229424_2,0.081,1974
k121_580500_2,0.061,1920
k121_1049150_7,0.000,1920
k121_566136_4,0.656,1644
k121_1638165_15,0.079,1527
k121_1246460_4,0.197,1491
k121_302252_1,3.673,1326
k121_118679_6,0.090,1305
k121_1488741_1,0.000,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.000,1215
k121_1299587_5,0.217,1188
k121_1655639_2,0.380,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.000,1170
k121_1423813_2,0.000,1167
k121_68825_2,0.038,1068
k121_1273179_10,0.000,1062
k121_1057301_2,0.512,1008
k121_1046017_2,1.483,1005
k121_1259309_2,1.223,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.267,930
k121_1589252_3,0.000,927
k121_997836_1,0.000,915
k121_671215_2,1.251,906
k121_500579_3,1.864,897
k121_1809809_1,0.000,891
k121_858589_5,1.944,888
k121_538461_3,2.036,885
k121_736202_1,2.000,885
k121_79954_69,12.438,882
k121_1519353_3,4.423,882
k121_58970_1,0.255,882
k121_1762969_1,2.804,876
k121_252136_5,0.000,876
k121_255520_3,0.252,870
k121_50166_2,0.000,870
k121_1686166_1,0.000,867
k121_660679_2,0.000,864
k121_1269806_2,0.000,852
k121_185419_2,1.180,852
k121_790124_1,0.729,849
k121_895379_1,0.000,849
k121_495553_2,0.967,849
k121_1494871_1,0.000,843
k121_1704035_1,0.943,831
k121_981513_1,1.733,834
k121_115983_6,5.430,828
k121_670656_5,0.000,825
k121_255479_3,1.528,825
k121_893075_2,0.000,825
k121_724130_4,0.000,822
k121_1330000_1,0.000,822
k121_1085118_2,0.000,819
k121_270992_7,8.661,816
k121_1292698_3,0.000,816
k121_178939_6,1.849,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.000,798
k121_205890_1,0.000,783
k121_1602733_1,0.000,777
k121_667899_1,0.000,771
k121_816922_1,0.000,768
k121_50545_1,0.000,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.351,738
k121_1272857_1,4.098,732
k121_40257_1,0.830,723
k121_339048_1,7.185,714
k121_1082478_2,2.358,699
k121_238593_1,1.211,696
k121_1294233_4,0.780,681
k121_942206_1,0.366,675
k121_370213_1,1.625,654
k121_1290865_1,1.240,642
k121_42076_1,1.690,639
k121_900900_5,0.169,633
k121_1288254_1,0.976,621
k121_611494_1,0.262,621
k121_479849_1,0.119,606
k121_1282450_2,0.000,597
k121_1092380_2,0.000,597
k121_401896_1,0.191,534
k121_1956670_1,2.488,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,1.122,360
k121_906279_2,0.000,357
k121_1361241_2,0.204,324
