Name,Average.coverage,Reference.length
k121_1708036_69,13.200,3180
k121_15532_6,7.466,3180
k121_686909_81,10.839,3165
k121_1643710_7,3.720,3111
k121_64041_9,7.143,3054
k121_466249_1,11.570,2379
k121_357241_1,13.779,2232
k121_764851_3,0.545,2001
k121_1229424_2,4.293,1974
k121_580500_2,3.373,1920
k121_1049150_7,3.087,1920
k121_566136_4,0.835,1644
k121_1638165_15,0.790,1527
k121_1246460_4,8.096,1491
k121_302252_1,10.015,1326
k121_118679_6,6.663,1305
k121_1488741_1,1.351,1296
k121_731759_3,0.484,1239
k121_1365491_2,1.211,1218
k121_724130_3,1.726,1215
k121_1299587_5,14.581,1188
k121_1655639_2,0.074,1176
k121_965840_2,1.224,1176
k121_1643710_6,0.167,1170
k121_1423813_2,2.300,1167
k121_68825_2,3.919,1068
k121_1273179_10,1.462,1062
k121_1057301_2,2.068,1008
k121_1046017_2,0.422,1005
k121_1259309_2,6.380,981
k121_365816_2,1.704,966
k121_77453_2,0.668,942
k121_401236_1,2.223,930
k121_1589252_3,0.000,927
k121_997836_1,0.352,915
k121_671215_2,0.083,906
k121_500579_3,4.696,897
k121_1809809_1,0.000,891
k121_858589_5,0.153,888
k121_538461_3,4.449,885
k121_736202_1,20.198,885
k121_79954_69,5.439,882
k121_1519353_3,9.688,882
k121_58970_1,3.824,882
k121_1762969_1,10.793,876
k121_252136_5,17.409,876
k121_255520_3,0.067,870
k121_50166_2,0.593,870
k121_1686166_1,1.384,867
k121_660679_2,1.188,864
k121_1269806_2,0.101,852
k121_185419_2,19.616,852
k121_790124_1,6.272,849
k121_895379_1,7.570,849
k121_495553_2,2.815,849
k121_1494871_1,2.246,843
k121_1704035_1,3.437,831
k121_981513_1,2.396,834
k121_115983_6,1.390,828
k121_670656_5,0.000,825
k121_255479_3,3.308,825
k121_893075_2,0.349,825
k121_724130_4,1.895,822
k121_1330000_1,1.597,822
k121_1085118_2,0.000,819
k121_270992_7,1.471,816
k121_1292698_3,2.016,816
k121_178939_6,2.733,816
k121_1325277_1,1.219,804
k121_790052_6,0.368,804
k121_210290_1,1.679,798
k121_205890_1,0.715,783
k121_1602733_1,0.000,777
k121_667899_1,5.319,771
k121_816922_1,2.641,768
k121_50545_1,0.000,762
k121_797356_1,0.802,744
k121_780262_2,0.405,741
k121_109860_2,0.710,738
k121_1272857_1,13.589,732
k121_40257_1,0.311,723
k121_339048_1,9.174,714
k121_1082478_2,4.179,699
k121_238593_1,2.634,696
k121_1294233_4,2.072,681
k121_942206_1,0.545,675
k121_370213_1,0.622,654
k121_1290865_1,4.136,642
k121_42076_1,0.106,639
k121_900900_5,3.867,633
k121_1288254_1,4.428,621
k121_611494_1,1.678,621
k121_479849_1,13.371,606
k121_1282450_2,2.712,597
k121_1092380_2,32.430,597
k121_401896_1,1.318,534
k121_1956670_1,3.078,525
k121_438003_1,0.000,474
k121_1788674_3,2.215,465
k121_796109_1,5.972,360
k121_906279_2,0.000,357
k121_1361241_2,2.198,324
