Name,Average.coverage,Reference.length
k121_1708036_69,6.739,3180
k121_15532_6,2.582,3180
k121_686909_81,5.201,3165
k121_1643710_7,2.490,3111
k121_64041_9,4.210,3054
k121_466249_1,8.846,2379
k121_357241_1,7.574,2232
k121_764851_3,0.702,2001
k121_1229424_2,0.608,1974
k121_580500_2,0.693,1920
k121_1049150_7,0.698,1920
k121_566136_4,0.759,1644
k121_1638165_15,0.087,1527
k121_1246460_4,0.398,1491
k121_302252_1,7.700,1326
k121_118679_6,0.300,1305
k121_1488741_1,0.267,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.090,1215
k121_1299587_5,0.553,1188
k121_1655639_2,0.255,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.000,1170
k121_1423813_2,0.512,1167
k121_68825_2,0.390,1068
k121_1273179_10,0.083,1062
k121_1057301_2,0.149,1008
k121_1046017_2,0.000,1005
k121_1259309_2,0.881,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.359,930
k121_1589252_3,0.000,927
k121_997836_1,0.000,915
k121_671215_2,0.396,906
k121_500579_3,5.242,897
k121_1809809_1,0.000,891
k121_858589_5,0.277,888
k121_538461_3,3.612,885
k121_736202_1,1.819,885
k121_79954_69,1.515,882
k121_1519353_3,5.841,882
k121_58970_1,1.156,882
k121_1762969_1,4.421,876
k121_252136_5,0.342,876
k121_255520_3,0.000,870
k121_50166_2,0.055,870
k121_1686166_1,0.000,867
k121_660679_2,0.000,864
k121_1269806_2,0.000,852
k121_185419_2,1.343,852
k121_790124_1,0.552,849
k121_895379_1,0.690,849
k121_495553_2,0.960,849
k121_1494871_1,0.000,843
k121_1704035_1,0.540,831
k121_981513_1,0.625,834
k121_115983_6,0.000,828
k121_670656_5,0.000,825
k121_255479_3,3.716,825
k121_893075_2,0.000,825
k121_724130_4,0.000,822
k121_1330000_1,0.000,822
k121_1085118_2,0.000,819
k121_270992_7,0.000,816
k121_1292698_3,0.288,816
k121_178939_6,1.200,816
k121_1325277_1,0.000,804
k121_790052_6,0.317,804
k121_210290_1,0.000,798
k121_205890_1,0.000,783
k121_1602733_1,0.386,777
k121_667899_1,0.000,771
k121_816922_1,0.000,768
k121_50545_1,0.000,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.638,738
k121_1272857_1,8.430,732
k121_40257_1,0.725,723
k121_339048_1,8.077,714
k121_1082478_2,4.256,699
k121_238593_1,0.474,696
k121_1294233_4,1.952,681
k121_942206_1,0.770,675
k121_370213_1,0.829,654
k121_1290865_1,2.355,642
k121_42076_1,0.194,639
k121_900900_5,0.128,633
k121_1288254_1,3.523,621
k121_611494_1,0.903,621
k121_479849_1,0.904,606
k121_1282450_2,0.000,597
k121_1092380_2,0.206,597
k121_401896_1,0.204,534
k121_1956670_1,4.368,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,0.586,360
k121_906279_2,0.000,357
k121_1361241_2,0.219,324
