Name,Average.coverage,Reference.length
k121_1708036_69,8.615,3180
k121_15532_6,4.662,3180
k121_686909_81,8.208,3165
k121_1643710_7,2.180,3111
k121_64041_9,5.623,3054
k121_466249_1,11.711,2379
k121_357241_1,9.455,2232
k121_764851_3,0.346,2001
k121_1229424_2,5.319,1974
k121_580500_2,2.833,1920
k121_1049150_7,3.135,1920
k121_566136_4,0.631,1644
k121_1638165_15,0.340,1527
k121_1246460_4,1.455,1491
k121_302252_1,9.836,1326
k121_118679_6,0.000,1305
k121_1488741_1,0.467,1296
k121_731759_3,0.726,1239
k121_1365491_2,0.492,1218
k121_724130_3,5.193,1215
k121_1299587_5,1.100,1188
k121_1655639_2,0.440,1176
k121_965840_2,1.966,1176
k121_1643710_6,0.166,1170
k121_1423813_2,0.900,1167
k121_68825_2,1.478,1068
k121_1273179_10,0.475,1062
k121_1057301_2,0.790,1008
k121_1046017_2,0.770,1005
k121_1259309_2,7.109,981
k121_365816_2,3.720,966
k121_77453_2,0.000,942
k121_401236_1,1.255,930
k121_1589252_3,0.268,927
k121_997836_1,0.132,915
k121_671215_2,0.000,906
k121_500579_3,6.679,897
k121_1809809_1,0.000,891
k121_858589_5,1.014,888
k121_538461_3,4.679,885
k121_736202_1,6.718,885
k121_79954_69,4.865,882
k121_1519353_3,6.527,882
k121_58970_1,2.410,882
k121_1762969_1,9.221,876
k121_252136_5,13.140,876
k121_255520_3,0.287,870
k121_50166_2,0.100,870
k121_1686166_1,1.249,867
k121_660679_2,2.606,864
k121_1269806_2,0.000,852
k121_185419_2,7.756,852
k121_790124_1,2.206,849
k121_895379_1,5.694,849
k121_495553_2,1.435,849
k121_1494871_1,0.075,843
k121_1704035_1,2.546,831
k121_981513_1,3.928,834
k121_115983_6,2.301,828
k121_670656_5,0.000,825
k121_255479_3,3.698,825
k121_893075_2,1.091,825
k121_724130_4,3.285,822
k121_1330000_1,3.017,822
k121_1085118_2,0.000,819
k121_270992_7,1.103,816
k121_1292698_3,1.287,816
k121_178939_6,1.978,816
k121_1325277_1,0.619,804
k121_790052_6,0.373,804
k121_210290_1,0.412,798
k121_205890_1,0.000,783
k121_1602733_1,0.535,777
k121_667899_1,0.933,771
k121_816922_1,0.781,768
k121_50545_1,0.197,762
k121_797356_1,0.000,744
k121_780262_2,0.405,741
k121_109860_2,0.172,738
k121_1272857_1,13.004,732
k121_40257_1,0.000,723
k121_339048_1,11.856,714
k121_1082478_2,6.810,699
k121_238593_1,0.421,696
k121_1294233_4,1.759,681
k121_942206_1,1.653,675
k121_370213_1,1.131,654
k121_1290865_1,2.232,642
k121_42076_1,0.000,639
k121_900900_5,1.062,633
k121_1288254_1,4.374,621
k121_611494_1,5.378,621
k121_479849_1,2.957,606
k121_1282450_2,0.000,597
k121_1092380_2,5.638,597
k121_401896_1,1.075,534
k121_1956670_1,2.440,525
k121_438003_1,0.000,474
k121_1788674_3,0.297,465
k121_796109_1,7.869,360
k121_906279_2,0.000,357
k121_1361241_2,1.796,324
