Name,Average.coverage,Reference.length
k121_1708036_69,5.407,3180
k121_15532_6,2.106,3180
k121_686909_81,4.995,3165
k121_1643710_7,2.089,3111
k121_64041_9,5.459,3054
k121_466249_1,5.521,2379
k121_357241_1,6.113,2232
k121_764851_3,1.257,2001
k121_1229424_2,0.866,1974
k121_580500_2,2.034,1920
k121_1049150_7,1.489,1920
k121_566136_4,0.909,1644
k121_1638165_15,0.150,1527
k121_1246460_4,0.704,1491
k121_302252_1,5.228,1326
k121_118679_6,0.107,1305
k121_1488741_1,0.504,1296
k121_731759_3,0.242,1239
k121_1365491_2,0.734,1218
k121_724130_3,0.000,1215
k121_1299587_5,1.496,1188
k121_1655639_2,0.255,1176
k121_965840_2,0.255,1176
k121_1643710_6,0.000,1170
k121_1423813_2,1.858,1167
k121_68825_2,5.969,1068
k121_1273179_10,0.357,1062
k121_1057301_2,7.528,1008
k121_1046017_2,0.000,1005
k121_1259309_2,12.730,981
k121_365816_2,0.311,966
k121_77453_2,0.072,942
k121_401236_1,0.099,930
k121_1589252_3,0.000,927
k121_997836_1,1.587,915
k121_671215_2,5.103,906
k121_500579_3,32.362,897
k121_1809809_1,0.000,891
k121_858589_5,43.615,888
k121_538461_3,2.575,885
k121_736202_1,2.692,885
k121_79954_69,2.629,882
k121_1519353_3,2.239,882
k121_58970_1,3.608,882
k121_1762969_1,10.268,876
k121_252136_5,406.833,876
k121_255520_3,0.345,870
k121_50166_2,0.607,870
k121_1686166_1,0.519,867
k121_660679_2,2.444,864
k121_1269806_2,0.904,852
k121_185419_2,2.016,852
k121_790124_1,2.254,849
k121_895379_1,14.488,849
k121_495553_2,1.171,849
k121_1494871_1,0.962,843
k121_1704035_1,1.290,831
k121_981513_1,5.825,834
k121_115983_6,0.077,828
k121_670656_5,6.985,825
k121_255479_3,11.109,825
k121_893075_2,1.091,825
k121_724130_4,0.258,822
k121_1330000_1,8.265,822
k121_1085118_2,0.000,819
k121_270992_7,0.000,816
k121_1292698_3,3.708,816
k121_178939_6,2.021,816
k121_1325277_1,0.182,804
k121_790052_6,0.736,804
k121_210290_1,0.376,798
k121_205890_1,1.149,783
k121_1602733_1,0.547,777
k121_667899_1,0.497,771
k121_816922_1,5.452,768
k121_50545_1,0.591,762
k121_797356_1,0.000,744
k121_780262_2,7.212,741
k121_109860_2,0.714,738
k121_1272857_1,6.317,732
k121_40257_1,0.000,723
k121_339048_1,6.573,714
k121_1082478_2,2.441,699
k121_238593_1,0.736,696
k121_1294233_4,2.529,681
k121_942206_1,0.800,675
k121_370213_1,0.864,654
k121_1290865_1,1.480,642
k121_42076_1,0.000,639
k121_900900_5,0.000,633
k121_1288254_1,1.567,621
k121_611494_1,3.866,621
k121_479849_1,0.424,606
k121_1282450_2,0.000,597
k121_1092380_2,0.127,597
k121_401896_1,1.122,534
k121_1956670_1,2.221,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,16.589,360
k121_906279_2,0.824,357
k121_1361241_2,0.775,324
