Name,Average.coverage,Reference.length
k121_1708036_69,8.389,3180
k121_15532_6,29.643,3180
k121_686909_81,12.176,3165
k121_1643710_7,4.442,3111
k121_64041_9,6.027,3054
k121_466249_1,9.614,2379
k121_357241_1,10.041,2232
k121_764851_3,0.219,2001
k121_1229424_2,12.920,1974
k121_580500_2,12.772,1920
k121_1049150_7,7.513,1920
k121_566136_4,1.262,1644
k121_1638165_15,1.094,1527
k121_1246460_4,2.236,1491
k121_302252_1,8.614,1326
k121_118679_6,0.449,1305
k121_1488741_1,0.550,1296
k121_731759_3,2.906,1239
k121_1365491_2,0.984,1218
k121_724130_3,15.882,1215
k121_1299587_5,38.731,1188
k121_1655639_2,0.100,1176
k121_965840_2,6.964,1176
k121_1643710_6,0.067,1170
k121_1423813_2,9.746,1167
k121_68825_2,7.995,1068
k121_1273179_10,0.121,1062
k121_1057301_2,4.201,1008
k121_1046017_2,1.386,1005
k121_1259309_2,22.202,981
k121_365816_2,5.043,966
k121_77453_2,2.547,942
k121_401236_1,1.537,930
k121_1589252_3,0.000,927
k121_997836_1,0.000,915
k121_671215_2,0.662,906
k121_500579_3,12.520,897
k121_1809809_1,3.030,891
k121_858589_5,4.105,888
k121_538461_3,5.207,885
k121_736202_1,5.339,885
k121_79954_69,6.077,882
k121_1519353_3,7.276,882
k121_58970_1,7.346,882
k121_1762969_1,9.445,876
k121_252136_5,6.671,876
k121_255520_3,1.751,870
k121_50166_2,0.492,870
k121_1686166_1,3.753,867
k121_660679_2,1.736,864
k121_1269806_2,0.000,852
k121_185419_2,15.038,852
k121_790124_1,6.691,849
k121_895379_1,32.054,849
k121_495553_2,3.002,849
k121_1494871_1,5.563,843
k121_1704035_1,1.975,831
k121_981513_1,10.628,834
k121_115983_6,1.697,828
k121_670656_5,0.181,825
k121_255479_3,3.785,825
k121_893075_2,2.627,825
k121_724130_4,12.271,822
k121_1330000_1,17.881,822
k121_1085118_2,4.018,819
k121_270992_7,1.455,816
k121_1292698_3,4.435,816
k121_178939_6,5.498,816
k121_1325277_1,2.937,804
k121_790052_6,0.121,804
k121_210290_1,14.098,798
k121_205890_1,1.411,783
k121_1602733_1,2.210,777
k121_667899_1,4.588,771
k121_816922_1,11.762,768
k121_50545_1,2.756,762
k121_797356_1,3.903,744
k121_780262_2,0.000,741
k121_109860_2,0.575,738
k121_1272857_1,12.753,732
k121_40257_1,0.000,723
k121_339048_1,13.307,714
k121_1082478_2,5.788,699
k121_238593_1,4.121,696
k121_1294233_4,2.692,681
k121_942206_1,1.127,675
k121_370213_1,0.911,654
k121_1290865_1,2.701,642
k121_42076_1,0.202,639
k121_900900_5,14.742,633
k121_1288254_1,5.965,621
k121_611494_1,5.119,621
k121_479849_1,3.802,606
k121_1282450_2,0.424,597
k121_1092380_2,4.516,597
k121_401896_1,6.185,534
k121_1956670_1,5.093,525
k121_438003_1,0.000,474
k121_1788674_3,2.394,465
k121_796109_1,18.922,360
k121_906279_2,0.420,357
k121_1361241_2,3.414,324
