Name,Average.coverage,Reference.length
k121_1708036_69,6.310,3180
k121_15532_6,1.417,3180
k121_686909_81,4.617,3165
k121_1643710_7,2.130,3111
k121_64041_9,3.078,3054
k121_466249_1,15.134,2379
k121_357241_1,6.017,2232
k121_764851_3,1.771,2001
k121_1229424_2,0.000,1974
k121_580500_2,0.321,1920
k121_1049150_7,0.047,1920
k121_566136_4,0.206,1644
k121_1638165_15,0.000,1527
k121_1246460_4,0.149,1491
k121_302252_1,8.111,1326
k121_118679_6,0.043,1305
k121_1488741_1,0.188,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.246,1218
k121_724130_3,0.000,1215
k121_1299587_5,0.000,1188
k121_1655639_2,3.004,1176
k121_965840_2,0.221,1176
k121_1643710_6,0.000,1170
k121_1423813_2,0.247,1167
k121_68825_2,0.000,1068
k121_1273179_10,0.000,1062
k121_1057301_2,0.197,1008
k121_1046017_2,0.000,1005
k121_1259309_2,0.687,981
k121_365816_2,0.124,966
k121_77453_2,0.000,942
k121_401236_1,0.374,930
k121_1589252_3,0.000,927
k121_997836_1,0.126,915
k121_671215_2,1.320,906
k121_500579_3,6.574,897
k121_1809809_1,0.000,891
k121_858589_5,0.568,888
k121_538461_3,2.858,885
k121_736202_1,1.000,885
k121_79954_69,1.116,882
k121_1519353_3,7.430,882
k121_58970_1,1.609,882
k121_1762969_1,2.668,876
k121_252136_5,1.075,876
k121_255520_3,0.117,870
k121_50166_2,0.237,870
k121_1686166_1,0.000,867
k121_660679_2,0.000,864
k121_1269806_2,4.928,852
k121_185419_2,2.094,852
k121_790124_1,0.226,849
k121_895379_1,0.177,849
k121_495553_2,0.843,849
k121_1494871_1,0.000,843
k121_1704035_1,0.611,831
k121_981513_1,4.085,834
k121_115983_6,0.000,828
k121_670656_5,0.000,825
k121_255479_3,1.656,825
k121_893075_2,0.148,825
k121_724130_4,0.291,822
k121_1330000_1,1.137,822
k121_1085118_2,0.000,819
k121_270992_7,0.000,816
k121_1292698_3,0.000,816
k121_178939_6,0.914,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.000,798
k121_205890_1,0.000,783
k121_1602733_1,0.000,777
k121_667899_1,0.000,771
k121_816922_1,0.000,768
k121_50545_1,0.000,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.347,738
k121_1272857_1,7.440,732
k121_40257_1,0.548,723
k121_339048_1,6.286,714
k121_1082478_2,2.124,699
k121_238593_1,0.216,696
k121_1294233_4,0.160,681
k121_942206_1,1.296,675
k121_370213_1,0.387,654
k121_1290865_1,3.234,642
k121_42076_1,0.000,639
k121_900900_5,0.221,633
k121_1288254_1,3.733,621
k121_611494_1,0.942,621
k121_479849_1,0.295,606
k121_1282450_2,0.000,597
k121_1092380_2,0.000,597
k121_401896_1,0.000,534
k121_1956670_1,2.354,525
k121_438003_1,0.000,474
k121_1788674_3,0.817,465
k121_796109_1,3.450,360
k121_906279_2,0.000,357
k121_1361241_2,0.336,324
