Name,Average.coverage,Reference.length
k121_1708036_69,4.797,3180
k121_15532_6,1.891,3180
k121_686909_81,4.105,3165
k121_1643710_7,1.186,3111
k121_64041_9,3.072,3054
k121_466249_1,5.561,2379
k121_357241_1,4.467,2232
k121_764851_3,0.289,2001
k121_1229424_2,0.264,1974
k121_580500_2,0.260,1920
k121_1049150_7,0.233,1920
k121_566136_4,0.444,1644
k121_1638165_15,0.000,1527
k121_1246460_4,0.464,1491
k121_302252_1,4.430,1326
k121_118679_6,0.000,1305
k121_1488741_1,0.644,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.718,1218
k121_724130_3,0.000,1215
k121_1299587_5,0.379,1188
k121_1655639_2,1.065,1176
k121_965840_2,0.255,1176
k121_1643710_6,0.105,1170
k121_1423813_2,0.189,1167
k121_68825_2,1.061,1068
k121_1273179_10,0.299,1062
k121_1057301_2,1.339,1008
k121_1046017_2,0.000,1005
k121_1259309_2,1.529,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.273,930
k121_1589252_3,0.000,927
k121_997836_1,0.328,915
k121_671215_2,3.519,906
k121_500579_3,4.969,897
k121_1809809_1,0.000,891
k121_858589_5,10.042,888
k121_538461_3,1.889,885
k121_736202_1,2.697,885
k121_79954_69,2.298,882
k121_1519353_3,2.776,882
k121_58970_1,0.736,882
k121_1762969_1,7.035,876
k121_252136_5,106.199,876
k121_255520_3,0.063,870
k121_50166_2,0.000,870
k121_1686166_1,0.346,867
k121_660679_2,2.431,864
k121_1269806_2,0.164,852
k121_185419_2,1.191,852
k121_790124_1,0.633,849
k121_895379_1,4.472,849
k121_495553_2,1.449,849
k121_1494871_1,0.000,843
k121_1704035_1,0.850,831
k121_981513_1,1.946,834
k121_115983_6,0.604,828
k121_670656_5,5.090,825
k121_255479_3,2.722,825
k121_893075_2,0.000,825
k121_724130_4,0.355,822
k121_1330000_1,2.071,822
k121_1085118_2,0.000,819
k121_270992_7,0.266,816
k121_1292698_3,1.012,816
k121_178939_6,1.532,816
k121_1325277_1,0.000,804
k121_790052_6,0.332,804
k121_210290_1,0.376,798
k121_205890_1,0.000,783
k121_1602733_1,0.000,777
k121_667899_1,0.000,771
k121_816922_1,1.701,768
k121_50545_1,1.827,762
k121_797356_1,0.000,744
k121_780262_2,0.810,741
k121_109860_2,0.757,738
k121_1272857_1,5.878,732
k121_40257_1,0.415,723
k121_339048_1,4.987,714
k121_1082478_2,2.954,699
k121_238593_1,0.000,696
k121_1294233_4,1.162,681
k121_942206_1,0.436,675
k121_370213_1,0.902,654
k121_1290865_1,1.026,642
k121_42076_1,0.211,639
k121_900900_5,0.000,633
k121_1288254_1,3.958,621
k121_611494_1,3.385,621
k121_479849_1,0.422,606
k121_1282450_2,0.461,597
k121_1092380_2,0.549,597
k121_401896_1,0.257,534
k121_1956670_1,2.168,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,2.258,360
k121_906279_2,0.000,357
k121_1361241_2,0.358,324
