Name,Average.coverage,Reference.length
k121_1708036_69,18.072,3180
k121_15532_6,5.245,3180
k121_686909_81,16.688,3165
k121_1643710_7,4.682,3111
k121_64041_9,12.078,3054
k121_466249_1,21.570,2379
k121_357241_1,29.082,2232
k121_764851_3,7.115,2001
k121_1229424_2,0.162,1974
k121_580500_2,0.103,1920
k121_1049150_7,0.121,1920
k121_566136_4,3.631,1644
k121_1638165_15,1.221,1527
k121_1246460_4,1.596,1491
k121_302252_1,32.551,1326
k121_118679_6,0.000,1305
k121_1488741_1,74.738,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.370,1215
k121_1299587_5,1.572,1188
k121_1655639_2,0.224,1176
k121_965840_2,1.179,1176
k121_1643710_6,0.087,1170
k121_1423813_2,0.201,1167
k121_68825_2,2.890,1068
k121_1273179_10,50.215,1062
k121_1057301_2,6.286,1008
k121_1046017_2,0.812,1005
k121_1259309_2,13.876,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.663,930
k121_1589252_3,11.033,927
k121_997836_1,0.000,915
k121_671215_2,1.798,906
k121_500579_3,104.620,897
k121_1809809_1,0.000,891
k121_858589_5,1.153,888
k121_538461_3,5.631,885
k121_736202_1,4.194,885
k121_79954_69,12.347,882
k121_1519353_3,6.748,882
k121_58970_1,1.109,882
k121_1762969_1,14.466,876
k121_252136_5,1.027,876
k121_255520_3,0.261,870
k121_50166_2,2.284,870
k121_1686166_1,0.000,867
k121_660679_2,0.346,864
k121_1269806_2,0.000,852
k121_185419_2,5.440,852
k121_790124_1,4.735,849
k121_895379_1,2.541,849
k121_495553_2,1.366,849
k121_1494871_1,0.000,843
k121_1704035_1,10.167,831
k121_981513_1,19.031,834
k121_115983_6,5.656,828
k121_670656_5,0.000,825
k121_255479_3,5.154,825
k121_893075_2,0.172,825
k121_724130_4,2.956,822
k121_1330000_1,4.238,822
k121_1085118_2,0.000,819
k121_270992_7,9.371,816
k121_1292698_3,4.924,816
k121_178939_6,4.822,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.150,798
k121_205890_1,2.682,783
k121_1602733_1,0.000,777
k121_667899_1,0.778,771
k121_816922_1,0.000,768
k121_50545_1,12.564,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.370,738
k121_1272857_1,30.230,732
k121_40257_1,1.122,723
k121_339048_1,14.679,714
k121_1082478_2,3.069,699
k121_238593_1,0.000,696
k121_1294233_4,3.512,681
k121_942206_1,0.000,675
k121_370213_1,2.583,654
k121_1290865_1,3.422,642
k121_42076_1,0.939,639
k121_900900_5,0.000,633
k121_1288254_1,2.414,621
k121_611494_1,4.113,621
k121_479849_1,5.548,606
k121_1282450_2,0.000,597
k121_1092380_2,6.687,597
k121_401896_1,1.024,534
k121_1956670_1,3.867,525
k121_438003_1,9.627,474
k121_1788674_3,0.520,465
k121_796109_1,37.286,360
k121_906279_2,0.000,357
k121_1361241_2,3.608,324
