Name,Average.coverage,Reference.length
k121_1708036_69,3.698,3180
k121_15532_6,2.888,3180
k121_686909_81,3.664,3165
k121_1643710_7,2.206,3111
k121_64041_9,3.694,3054
k121_466249_1,4.276,2379
k121_357241_1,3.946,2232
k121_764851_3,0.658,2001
k121_1229424_2,0.470,1974
k121_580500_2,2.923,1920
k121_1049150_7,1.586,1920
k121_566136_4,0.761,1644
k121_1638165_15,0.000,1527
k121_1246460_4,0.408,1491
k121_302252_1,2.628,1326
k121_118679_6,0.460,1305
k121_1488741_1,0.637,1296
k121_731759_3,0.000,1239
k121_1365491_2,1.232,1218
k121_724130_3,0.000,1215
k121_1299587_5,3.031,1188
k121_1655639_2,0.943,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.000,1170
k121_1423813_2,1.085,1167
k121_68825_2,6.220,1068
k121_1273179_10,0.102,1062
k121_1057301_2,3.246,1008
k121_1046017_2,0.000,1005
k121_1259309_2,12.101,981
k121_365816_2,0.621,966
k121_77453_2,0.000,942
k121_401236_1,0.317,930
k121_1589252_3,0.000,927
k121_997836_1,2.361,915
k121_671215_2,7.967,906
k121_500579_3,19.433,897
k121_1809809_1,0.000,891
k121_858589_5,34.366,888
k121_538461_3,1.889,885
k121_736202_1,2.253,885
k121_79954_69,2.763,882
k121_1519353_3,2.889,882
k121_58970_1,4.078,882
k121_1762969_1,6.836,876
k121_252136_5,1205.683,876
k121_255520_3,0.078,870
k121_50166_2,0.164,870
k121_1686166_1,0.346,867
k121_660679_2,0.694,864
k121_1269806_2,0.000,852
k121_185419_2,1.703,852
k121_790124_1,0.876,849
k121_895379_1,13.191,849
k121_495553_2,1.837,849
k121_1494871_1,0.089,843
k121_1704035_1,0.844,831
k121_981513_1,6.441,834
k121_115983_6,0.181,828
k121_670656_5,3.971,825
k121_255479_3,6.568,825
k121_893075_2,0.000,825
k121_724130_4,0.000,822
k121_1330000_1,4.866,822
k121_1085118_2,0.000,819
k121_270992_7,0.184,816
k121_1292698_3,1.828,816
k121_178939_6,2.659,816
k121_1325277_1,0.000,804
k121_790052_6,0.372,804
k121_210290_1,0.000,798
k121_205890_1,0.192,783
k121_1602733_1,2.094,777
k121_667899_1,0.000,771
k121_816922_1,7.008,768
k121_50545_1,0.319,762
k121_797356_1,0.000,744
k121_780262_2,2.047,741
k121_109860_2,0.175,738
k121_1272857_1,6.190,732
k121_40257_1,0.389,723
k121_339048_1,5.141,714
k121_1082478_2,1.914,699
k121_238593_1,0.000,696
k121_1294233_4,2.548,681
k121_942206_1,0.000,675
k121_370213_1,1.055,654
k121_1290865_1,1.252,642
k121_42076_1,0.186,639
k121_900900_5,0.474,633
k121_1288254_1,1.504,621
k121_611494_1,6.014,621
k121_479849_1,0.165,606
k121_1282450_2,0.000,597
k121_1092380_2,0.000,597
k121_401896_1,1.124,534
k121_1956670_1,1.240,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,5.467,360
k121_906279_2,0.000,357
k121_1361241_2,0.275,324
