Name,Average.coverage,Reference.length
k121_1708036_69,6.443,3180
k121_15532_6,2.953,3180
k121_686909_81,6.333,3165
k121_1643710_7,1.624,3111
k121_64041_9,5.735,3054
k121_466249_1,7.300,2379
k121_357241_1,9.159,2232
k121_764851_3,0.673,2001
k121_1229424_2,0.522,1974
k121_580500_2,0.871,1920
k121_1049150_7,1.090,1920
k121_566136_4,13.020,1644
k121_1638165_15,0.133,1527
k121_1246460_4,0.728,1491
k121_302252_1,7.008,1326
k121_118679_6,0.087,1305
k121_1488741_1,0.690,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.369,1218
k121_724130_3,0.000,1215
k121_1299587_5,0.395,1188
k121_1655639_2,0.106,1176
k121_965840_2,0.109,1176
k121_1643710_6,0.121,1170
k121_1423813_2,2.769,1167
k121_68825_2,16.874,1068
k121_1273179_10,0.241,1062
k121_1057301_2,44.165,1008
k121_1046017_2,14.920,1005
k121_1259309_2,12.518,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.369,930
k121_1589252_3,0.000,927
k121_997836_1,8.556,915
k121_671215_2,17.975,906
k121_500579_3,42.385,897
k121_1809809_1,0.000,891
k121_858589_5,20.694,888
k121_538461_3,7.618,885
k121_736202_1,2.523,885
k121_79954_69,6.407,882
k121_1519353_3,4.777,882
k121_58970_1,0.427,882
k121_1762969_1,7.685,876
k121_252136_5,28.458,876
k121_255520_3,0.230,870
k121_50166_2,0.000,870
k121_1686166_1,0.000,867
k121_660679_2,6.380,864
k121_1269806_2,0.880,852
k121_185419_2,1.898,852
k121_790124_1,1.577,849
k121_895379_1,14.143,849
k121_495553_2,1.441,849
k121_1494871_1,0.000,843
k121_1704035_1,1.017,831
k121_981513_1,12.345,834
k121_115983_6,4.126,828
k121_670656_5,1.107,825
k121_255479_3,2.510,825
k121_893075_2,0.000,825
k121_724130_4,0.273,822
k121_1330000_1,8.892,822
k121_1085118_2,0.000,819
k121_270992_7,5.775,816
k121_1292698_3,4.165,816
k121_178939_6,1.884,816
k121_1325277_1,0.000,804
k121_790052_6,6.312,804
k121_210290_1,0.376,798
k121_205890_1,3.626,783
k121_1602733_1,1.544,777
k121_667899_1,0.482,771
k121_816922_1,1.087,768
k121_50545_1,2.440,762
k121_797356_1,0.000,744
k121_780262_2,0.150,741
k121_109860_2,0.000,738
k121_1272857_1,12.413,732
k121_40257_1,0.974,723
k121_339048_1,11.968,714
k121_1082478_2,5.456,699
k121_238593_1,2.628,696
k121_1294233_4,2.451,681
k121_942206_1,1.047,675
k121_370213_1,4.410,654
k121_1290865_1,2.458,642
k121_42076_1,0.000,639
k121_900900_5,0.000,633
k121_1288254_1,2.778,621
k121_611494_1,4.797,621
k121_479849_1,0.502,606
k121_1282450_2,0.000,597
k121_1092380_2,0.152,597
k121_401896_1,0.281,534
k121_1956670_1,2.564,525
k121_438003_1,0.000,474
k121_1788674_3,1.215,465
k121_796109_1,31.225,360
k121_906279_2,8.062,357
k121_1361241_2,0.219,324
