Name,Average.coverage,Reference.length
k121_1708036_69,7.615,3180
k121_15532_6,2.653,3180
k121_686909_81,5.909,3165
k121_1643710_7,1.905,3111
k121_64041_9,4.676,3054
k121_466249_1,8.831,2379
k121_357241_1,7.717,2232
k121_764851_3,0.065,2001
k121_1229424_2,0.260,1974
k121_580500_2,0.319,1920
k121_1049150_7,0.230,1920
k121_566136_4,0.946,1644
k121_1638165_15,0.193,1527
k121_1246460_4,0.076,1491
k121_302252_1,7.086,1326
k121_118679_6,0.324,1305
k121_1488741_1,0.119,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.199,1215
k121_1299587_5,0.277,1188
k121_1655639_2,0.491,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.000,1170
k121_1423813_2,0.257,1167
k121_68825_2,2.354,1068
k121_1273179_10,0.000,1062
k121_1057301_2,3.976,1008
k121_1046017_2,1.387,1005
k121_1259309_2,1.223,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.334,930
k121_1589252_3,0.000,927
k121_997836_1,0.868,915
k121_671215_2,5.550,906
k121_500579_3,9.428,897
k121_1809809_1,0.000,891
k121_858589_5,3.260,888
k121_538461_3,2.837,885
k121_736202_1,2.165,885
k121_79954_69,54.219,882
k121_1519353_3,3.421,882
k121_58970_1,0.404,882
k121_1762969_1,4.682,876
k121_252136_5,2.232,876
k121_255520_3,0.126,870
k121_50166_2,0.232,870
k121_1686166_1,0.000,867
k121_660679_2,0.347,864
k121_1269806_2,0.000,852
k121_185419_2,2.088,852
k121_790124_1,0.946,849
k121_895379_1,4.497,849
k121_495553_2,0.542,849
k121_1494871_1,0.000,843
k121_1704035_1,1.005,831
k121_981513_1,5.489,834
k121_115983_6,46.917,828
k121_670656_5,0.000,825
k121_255479_3,3.388,825
k121_893075_2,0.000,825
k121_724130_4,0.058,822
k121_1330000_1,0.000,822
k121_1085118_2,0.000,819
k121_270992_7,64.118,816
k121_1292698_3,0.735,816
k121_178939_6,1.022,816
k121_1325277_1,0.000,804
k121_790052_6,0.470,804
k121_210290_1,0.000,798
k121_205890_1,0.383,783
k121_1602733_1,0.000,777
k121_667899_1,0.000,771
k121_816922_1,0.391,768
k121_50545_1,0.394,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.125,738
k121_1272857_1,9.473,732
k121_40257_1,4.246,723
k121_339048_1,8.000,714
k121_1082478_2,3.196,699
k121_238593_1,0.678,696
k121_1294233_4,2.388,681
k121_942206_1,1.027,675
k121_370213_1,1.945,654
k121_1290865_1,1.475,642
k121_42076_1,3.308,639
k121_900900_5,0.000,633
k121_1288254_1,2.060,621
k121_611494_1,2.338,621
k121_479849_1,0.185,606
k121_1282450_2,0.000,597
k121_1092380_2,0.000,597
k121_401896_1,0.000,534
k121_1956670_1,2.800,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,4.633,360
k121_906279_2,0.420,357
k121_1361241_2,0.957,324
