Name,Average.coverage,Reference.length
k121_1708036_69,33.446,3180
k121_15532_6,6.083,3180
k121_686909_81,26.774,3165
k121_1643710_7,5.701,3111
k121_64041_9,21.053,3054
k121_466249_1,38.434,2379
k121_357241_1,37.371,2232
k121_764851_3,7.832,2001
k121_1229424_2,0.065,1974
k121_580500_2,0.384,1920
k121_1049150_7,0.326,1920
k121_566136_4,1.221,1644
k121_1638165_15,1.242,1527
k121_1246460_4,1.392,1491
k121_302252_1,33.360,1326
k121_118679_6,0.181,1305
k121_1488741_1,27.815,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.305,1215
k121_1299587_5,2.556,1188
k121_1655639_2,0.440,1176
k121_965840_2,0.579,1176
k121_1643710_6,0.202,1170
k121_1423813_2,0.000,1167
k121_68825_2,0.197,1068
k121_1273179_10,19.669,1062
k121_1057301_2,4.768,1008
k121_1046017_2,0.595,1005
k121_1259309_2,46.267,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,2.999,930
k121_1589252_3,0.000,927
k121_997836_1,0.242,915
k121_671215_2,0.976,906
k121_500579_3,99.793,897
k121_1809809_1,0.000,891
k121_858589_5,0.436,888
k121_538461_3,14.882,885
k121_736202_1,10.060,885
k121_79954_69,21.673,882
k121_1519353_3,20.982,882
k121_58970_1,2.011,882
k121_1762969_1,27.729,876
k121_252136_5,0.846,876
k121_255520_3,0.000,870
k121_50166_2,0.155,870
k121_1686166_1,0.000,867
k121_660679_2,0.347,864
k121_1269806_2,0.000,852
k121_185419_2,2.237,852
k121_790124_1,1.735,849
k121_895379_1,1.940,849
k121_495553_2,3.656,849
k121_1494871_1,0.677,843
k121_1704035_1,17.555,831
k121_981513_1,3.409,834
k121_115983_6,8.859,828
k121_670656_5,0.000,825
k121_255479_3,12.259,825
k121_893075_2,0.165,825
k121_724130_4,1.251,822
k121_1330000_1,2.718,822
k121_1085118_2,0.000,819
k121_270992_7,9.157,816
k121_1292698_3,0.368,816
k121_178939_6,4.065,816
k121_1325277_1,0.000,804
k121_790052_6,0.118,804
k121_210290_1,0.000,798
k121_205890_1,0.000,783
k121_1602733_1,0.000,777
k121_667899_1,0.477,771
k121_816922_1,0.000,768
k121_50545_1,0.682,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.331,738
k121_1272857_1,40.861,732
k121_40257_1,2.846,723
k121_339048_1,38.261,714
k121_1082478_2,17.279,699
k121_238593_1,0.826,696
k121_1294233_4,4.007,681
k121_942206_1,0.133,675
k121_370213_1,5.269,654
k121_1290865_1,2.777,642
k121_42076_1,0.000,639
k121_900900_5,0.948,633
k121_1288254_1,12.386,621
k121_611494_1,19.314,621
k121_479849_1,1.903,606
k121_1282450_2,0.000,597
k121_1092380_2,2.673,597
k121_401896_1,0.142,534
k121_1956670_1,9.349,525
k121_438003_1,0.000,474
k121_1788674_3,2.686,465
k121_796109_1,0.628,360
k121_906279_2,0.000,357
k121_1361241_2,11.611,324
