Name,Average.coverage,Reference.length
k121_1708036_69,8.823,3180
k121_15532_6,3.300,3180
k121_686909_81,6.709,3165
k121_1643710_7,2.436,3111
k121_64041_9,6.204,3054
k121_466249_1,7.412,2379
k121_357241_1,7.861,2232
k121_764851_3,1.204,2001
k121_1229424_2,0.910,1974
k121_580500_2,0.664,1920
k121_1049150_7,0.804,1920
k121_566136_4,12.296,1644
k121_1638165_15,0.265,1527
k121_1246460_4,0.645,1491
k121_302252_1,11.724,1326
k121_118679_6,0.000,1305
k121_1488741_1,0.059,1296
k121_731759_3,0.091,1239
k121_1365491_2,0.245,1218
k121_724130_3,0.000,1215
k121_1299587_5,0.281,1188
k121_1655639_2,0.755,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.188,1170
k121_1423813_2,3.153,1167
k121_68825_2,14.802,1068
k121_1273179_10,0.000,1062
k121_1057301_2,34.691,1008
k121_1046017_2,9.420,1005
k121_1259309_2,12.705,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.491,930
k121_1589252_3,0.000,927
k121_997836_1,12.989,915
k121_671215_2,17.906,906
k121_500579_3,38.303,897
k121_1809809_1,0.000,891
k121_858589_5,17.154,888
k121_538461_3,9.450,885
k121_736202_1,4.662,885
k121_79954_69,9.040,882
k121_1519353_3,5.763,882
k121_58970_1,1.541,882
k121_1762969_1,9.148,876
k121_252136_5,25.888,876
k121_255520_3,0.000,870
k121_50166_2,0.397,870
k121_1686166_1,0.000,867
k121_660679_2,11.789,864
k121_1269806_2,1.056,852
k121_185419_2,2.067,852
k121_790124_1,1.383,849
k121_895379_1,10.065,849
k121_495553_2,1.025,849
k121_1494871_1,0.000,843
k121_1704035_1,1.911,831
k121_981513_1,32.817,834
k121_115983_6,3.286,828
k121_670656_5,0.738,825
k121_255479_3,5.783,825
k121_893075_2,0.233,825
k121_724130_4,0.538,822
k121_1330000_1,7.765,822
k121_1085118_2,0.000,819
k121_270992_7,5.488,816
k121_1292698_3,7.882,816
k121_178939_6,3.501,816
k121_1325277_1,0.000,804
k121_790052_6,2.537,804
k121_210290_1,0.183,798
k121_205890_1,1.069,783
k121_1602733_1,0.713,777
k121_667899_1,0.000,771
k121_816922_1,4.126,768
k121_50545_1,4.787,762
k121_797356_1,0.000,744
k121_780262_2,0.395,741
k121_109860_2,0.202,738
k121_1272857_1,22.910,732
k121_40257_1,0.599,723
k121_339048_1,10.817,714
k121_1082478_2,5.179,699
k121_238593_1,2.003,696
k121_1294233_4,1.977,681
k121_942206_1,2.200,675
k121_370213_1,4.875,654
k121_1290865_1,2.949,642
k121_42076_1,0.000,639
k121_900900_5,0.474,633
k121_1288254_1,4.833,621
k121_611494_1,8.710,621
k121_479849_1,0.546,606
k121_1282450_2,0.000,597
k121_1092380_2,0.000,597
k121_401896_1,0.537,534
k121_1956670_1,2.623,525
k121_438003_1,0.000,474
k121_1788674_3,0.000,465
k121_796109_1,25.292,360
k121_906279_2,14.224,357
k121_1361241_2,1.139,324
