Name,Average.coverage,Reference.length
k121_1708036_69,8.557,3180
k121_15532_6,3.601,3180
k121_686909_81,8.199,3165
k121_1643710_7,2.595,3111
k121_64041_9,7.226,3054
k121_466249_1,8.447,2379
k121_357241_1,8.592,2232
k121_764851_3,1.496,2001
k121_1229424_2,1.031,1974
k121_580500_2,2.408,1920
k121_1049150_7,1.370,1920
k121_566136_4,8.306,1644
k121_1638165_15,0.270,1527
k121_1246460_4,0.520,1491
k121_302252_1,8.073,1326
k121_118679_6,0.000,1305
k121_1488741_1,0.177,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.369,1218
k121_724130_3,0.244,1215
k121_1299587_5,1.730,1188
k121_1655639_2,0.255,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.104,1170
k121_1423813_2,6.216,1167
k121_68825_2,16.203,1068
k121_1273179_10,0.365,1062
k121_1057301_2,71.622,1008
k121_1046017_2,19.478,1005
k121_1259309_2,10.966,981
k121_365816_2,0.833,966
k121_77453_2,0.000,942
k121_401236_1,0.577,930
k121_1589252_3,0.000,927
k121_997836_1,4.854,915
k121_671215_2,19.720,906
k121_500579_3,48.059,897
k121_1809809_1,0.000,891
k121_858589_5,15.618,888
k121_538461_3,9.885,885
k121_736202_1,3.012,885
k121_79954_69,7.865,882
k121_1519353_3,5.964,882
k121_58970_1,0.132,882
k121_1762969_1,7.542,876
k121_252136_5,35.135,876
k121_255520_3,0.113,870
k121_50166_2,0.180,870
k121_1686166_1,0.346,867
k121_660679_2,6.332,864
k121_1269806_2,0.856,852
k121_185419_2,1.369,852
k121_790124_1,3.283,849
k121_895379_1,11.787,849
k121_495553_2,3.225,849
k121_1494871_1,0.269,843
k121_1704035_1,0.603,831
k121_981513_1,26.032,834
k121_115983_6,4.376,828
k121_670656_5,0.327,825
k121_255479_3,3.606,825
k121_893075_2,0.000,825
k121_724130_4,0.139,822
k121_1330000_1,25.678,822
k121_1085118_2,0.000,819
k121_270992_7,5.266,816
k121_1292698_3,3.477,816
k121_178939_6,3.169,816
k121_1325277_1,0.000,804
k121_790052_6,4.728,804
k121_210290_1,0.898,798
k121_205890_1,2.250,783
k121_1602733_1,0.178,777
k121_667899_1,0.000,771
k121_816922_1,2.677,768
k121_50545_1,5.136,762
k121_797356_1,0.000,744
k121_780262_2,0.256,741
k121_109860_2,0.348,738
k121_1272857_1,20.556,732
k121_40257_1,0.390,723
k121_339048_1,12.595,714
k121_1082478_2,4.123,699
k121_238593_1,2.924,696
k121_1294233_4,2.470,681
k121_942206_1,1.040,675
k121_370213_1,3.058,654
k121_1290865_1,4.558,642
k121_42076_1,0.235,639
k121_900900_5,0.000,633
k121_1288254_1,4.473,621
k121_611494_1,8.032,621
k121_479849_1,0.186,606
k121_1282450_2,0.000,597
k121_1092380_2,0.000,597
k121_401896_1,0.277,534
k121_1956670_1,3.823,525
k121_438003_1,1.475,474
k121_1788674_3,1.191,465
k121_796109_1,39.978,360
k121_906279_2,10.756,357
k121_1361241_2,2.074,324
