Name,Average.coverage,Reference.length
k121_1708036_69,10.808,3180
k121_15532_6,3.142,3180
k121_686909_81,7.705,3165
k121_1643710_7,2.023,3111
k121_64041_9,5.260,3054
k121_466249_1,9.876,2379
k121_357241_1,8.382,2232
k121_764851_3,0.672,2001
k121_1229424_2,0.209,1974
k121_580500_2,0.998,1920
k121_1049150_7,0.440,1920
k121_566136_4,3.599,1644
k121_1638165_15,0.229,1527
k121_1246460_4,0.730,1491
k121_302252_1,8.234,1326
k121_118679_6,0.351,1305
k121_1488741_1,0.133,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.413,1215
k121_1299587_5,0.372,1188
k121_1655639_2,0.724,1176
k121_965840_2,0.097,1176
k121_1643710_6,0.121,1170
k121_1423813_2,1.284,1167
k121_68825_2,3.007,1068
k121_1273179_10,0.650,1062
k121_1057301_2,13.333,1008
k121_1046017_2,2.207,1005
k121_1259309_2,5.962,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.774,930
k121_1589252_3,0.000,927
k121_997836_1,3.437,915
k121_671215_2,10.474,906
k121_500579_3,12.233,897
k121_1809809_1,0.000,891
k121_858589_5,6.428,888
k121_538461_3,8.877,885
k121_736202_1,1.931,885
k121_79954_69,60.892,882
k121_1519353_3,2.459,882
k121_58970_1,0.372,882
k121_1762969_1,6.967,876
k121_252136_5,9.568,876
k121_255520_3,0.100,870
k121_50166_2,0.077,870
k121_1686166_1,0.095,867
k121_660679_2,1.600,864
k121_1269806_2,0.167,852
k121_185419_2,2.572,852
k121_790124_1,0.631,849
k121_895379_1,7.742,849
k121_495553_2,0.787,849
k121_1494871_1,0.000,843
k121_1704035_1,1.703,831
k121_981513_1,16.600,834
k121_115983_6,57.092,828
k121_670656_5,0.000,825
k121_255479_3,3.697,825
k121_893075_2,0.000,825
k121_724130_4,0.000,822
k121_1330000_1,1.646,822
k121_1085118_2,0.000,819
k121_270992_7,68.748,816
k121_1292698_3,1.896,816
k121_178939_6,2.828,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.000,798
k121_205890_1,1.724,783
k121_1602733_1,0.000,777
k121_667899_1,0.000,771
k121_816922_1,0.391,768
k121_50545_1,1.370,762
k121_797356_1,0.183,744
k121_780262_2,0.000,741
k121_109860_2,0.298,738
k121_1272857_1,15.807,732
k121_40257_1,1.227,723
k121_339048_1,11.168,714
k121_1082478_2,3.409,699
k121_238593_1,1.085,696
k121_1294233_4,1.746,681
k121_942206_1,0.401,675
k121_370213_1,2.344,654
k121_1290865_1,1.438,642
k121_42076_1,2.310,639
k121_900900_5,0.218,633
k121_1288254_1,2.575,621
k121_611494_1,3.280,621
k121_479849_1,0.215,606
k121_1282450_2,0.000,597
k121_1092380_2,0.082,597
k121_401896_1,1.609,534
k121_1956670_1,0.994,525
k121_438003_1,0.000,474
k121_1788674_3,1.406,465
k121_796109_1,14.561,360
k121_906279_2,4.308,357
k121_1361241_2,0.500,324
