Name,Average.coverage,Reference.length
k121_1708036_69,8.293,3180
k121_15532_6,3.319,3180
k121_686909_81,6.159,3165
k121_1643710_7,2.074,3111
k121_64041_9,6.317,3054
k121_466249_1,10.661,2379
k121_357241_1,10.462,2232
k121_764851_3,0.607,2001
k121_1229424_2,0.145,1974
k121_580500_2,0.470,1920
k121_1049150_7,0.103,1920
k121_566136_4,3.504,1644
k121_1638165_15,0.376,1527
k121_1246460_4,0.507,1491
k121_302252_1,9.302,1326
k121_118679_6,0.318,1305
k121_1488741_1,0.072,1296
k121_731759_3,0.065,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.240,1215
k121_1299587_5,0.253,1188
k121_1655639_2,0.843,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.091,1170
k121_1423813_2,1.762,1167
k121_68825_2,4.827,1068
k121_1273179_10,0.000,1062
k121_1057301_2,9.104,1008
k121_1046017_2,1.343,1005
k121_1259309_2,3.211,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.246,930
k121_1589252_3,0.000,927
k121_997836_1,4.662,915
k121_671215_2,12.682,906
k121_500579_3,14.017,897
k121_1809809_1,0.000,891
k121_858589_5,2.964,888
k121_538461_3,4.431,885
k121_736202_1,1.758,885
k121_79954_69,78.840,882
k121_1519353_3,3.933,882
k121_58970_1,1.042,882
k121_1762969_1,5.798,876
k121_252136_5,5.400,876
k121_255520_3,0.000,870
k121_50166_2,0.000,870
k121_1686166_1,0.000,867
k121_660679_2,0.694,864
k121_1269806_2,0.835,852
k121_185419_2,3.581,852
k121_790124_1,0.000,849
k121_895379_1,3.698,849
k121_495553_2,1.203,849
k121_1494871_1,0.075,843
k121_1704035_1,2.321,831
k121_981513_1,14.742,834
k121_115983_6,79.694,828
k121_670656_5,0.724,825
k121_255479_3,1.941,825
k121_893075_2,0.000,825
k121_724130_4,0.000,822
k121_1330000_1,3.207,822
k121_1085118_2,0.000,819
k121_270992_7,82.789,816
k121_1292698_3,1.103,816
k121_178939_6,1.978,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.188,798
k121_205890_1,0.000,783
k121_1602733_1,0.000,777
k121_667899_1,0.000,771
k121_816922_1,1.172,768
k121_50545_1,0.394,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.580,738
k121_1272857_1,15.078,732
k121_40257_1,2.485,723
k121_339048_1,10.060,714
k121_1082478_2,5.139,699
k121_238593_1,0.388,696
k121_1294233_4,2.354,681
k121_942206_1,0.430,675
k121_370213_1,1.456,654
k121_1290865_1,2.611,642
k121_42076_1,0.469,639
k121_900900_5,0.430,633
k121_1288254_1,4.052,621
k121_611494_1,3.998,621
k121_479849_1,0.388,606
k121_1282450_2,0.000,597
k121_1092380_2,0.414,597
k121_401896_1,0.000,534
k121_1956670_1,2.985,525
k121_438003_1,0.000,474
k121_1788674_3,1.157,465
k121_796109_1,5.250,360
k121_906279_2,1.261,357
k121_1361241_2,1.580,324
