Name,Average.coverage,Reference.length
k121_1708036_69,10.008,3180
k121_15532_6,2.685,3180
k121_686909_81,8.383,3165
k121_1643710_7,2.973,3111
k121_64041_9,7.551,3054
k121_466249_1,9.255,2379
k121_357241_1,11.617,2232
k121_764851_3,0.794,2001
k121_1229424_2,0.276,1974
k121_580500_2,0.486,1920
k121_1049150_7,0.000,1920
k121_566136_4,2.243,1644
k121_1638165_15,0.000,1527
k121_1246460_4,1.635,1491
k121_302252_1,12.170,1326
k121_118679_6,0.735,1305
k121_1488741_1,0.000,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.552,1215
k121_1299587_5,0.488,1188
k121_1655639_2,0.354,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.216,1170
k121_1423813_2,0.536,1167
k121_68825_2,7.288,1068
k121_1273179_10,0.234,1062
k121_1057301_2,15.079,1008
k121_1046017_2,3.383,1005
k121_1259309_2,9.202,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.591,930
k121_1589252_3,0.145,927
k121_997836_1,7.737,915
k121_671215_2,9.225,906
k121_500579_3,23.237,897
k121_1809809_1,0.000,891
k121_858589_5,10.490,888
k121_538461_3,7.939,885
k121_736202_1,1.777,885
k121_79954_69,76.558,882
k121_1519353_3,2.518,882
k121_58970_1,0.749,882
k121_1762969_1,7.118,876
k121_252136_5,8.253,876
k121_255520_3,0.000,870
k121_50166_2,0.207,870
k121_1686166_1,0.000,867
k121_660679_2,3.007,864
k121_1269806_2,0.000,852
k121_185419_2,1.595,852
k121_790124_1,0.605,849
k121_895379_1,12.993,849
k121_495553_2,0.544,849
k121_1494871_1,0.000,843
k121_1704035_1,2.282,831
k121_981513_1,17.772,834
k121_115983_6,103.353,828
k121_670656_5,0.000,825
k121_255479_3,3.052,825
k121_893075_2,0.000,825
k121_724130_4,0.360,822
k121_1330000_1,3.283,822
k121_1085118_2,0.000,819
k121_270992_7,104.759,816
k121_1292698_3,2.517,816
k121_178939_6,3.404,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.000,798
k121_205890_1,1.939,783
k121_1602733_1,0.000,777
k121_667899_1,0.337,771
k121_816922_1,0.000,768
k121_50545_1,1.209,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,1.057,738
k121_1272857_1,18.695,732
k121_40257_1,3.433,723
k121_339048_1,11.574,714
k121_1082478_2,4.149,699
k121_238593_1,1.751,696
k121_1294233_4,3.226,681
k121_942206_1,0.572,675
k121_370213_1,0.957,654
k121_1290865_1,1.354,642
k121_42076_1,2.008,639
k121_900900_5,0.000,633
k121_1288254_1,5.288,621
k121_611494_1,7.924,621
k121_479849_1,0.901,606
k121_1282450_2,0.000,597
k121_1092380_2,0.223,597
k121_401896_1,0.803,534
k121_1956670_1,2.472,525
k121_438003_1,0.551,474
k121_1788674_3,0.802,465
k121_796109_1,12.583,360
k121_906279_2,3.672,357
k121_1361241_2,0.676,324
