Name,Average.coverage,Reference.length
k121_1708036_69,10.074,3180
k121_15532_6,2.859,3180
k121_686909_81,7.115,3165
k121_1643710_7,2.375,3111
k121_64041_9,6.056,3054
k121_466249_1,10.808,2379
k121_357241_1,9.580,2232
k121_764851_3,0.360,2001
k121_1229424_2,0.220,1974
k121_580500_2,0.990,1920
k121_1049150_7,0.585,1920
k121_566136_4,1.960,1644
k121_1638165_15,0.096,1527
k121_1246460_4,0.551,1491
k121_302252_1,10.549,1326
k121_118679_6,0.335,1305
k121_1488741_1,0.226,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.198,1215
k121_1299587_5,0.117,1188
k121_1655639_2,0.366,1176
k121_965840_2,0.076,1176
k121_1643710_6,0.097,1170
k121_1423813_2,1.799,1167
k121_68825_2,0.176,1068
k121_1273179_10,0.111,1062
k121_1057301_2,2.871,1008
k121_1046017_2,0.744,1005
k121_1259309_2,1.070,981
k121_365816_2,0.000,966
k121_77453_2,0.145,942
k121_401236_1,0.904,930
k121_1589252_3,0.160,927
k121_997836_1,2.226,915
k121_671215_2,4.939,906
k121_500579_3,11.002,897
k121_1809809_1,0.000,891
k121_858589_5,3.690,888
k121_538461_3,3.268,885
k121_736202_1,3.812,885
k121_79954_69,37.887,882
k121_1519353_3,5.454,882
k121_58970_1,1.302,882
k121_1762969_1,6.492,876
k121_252136_5,0.470,876
k121_255520_3,0.148,870
k121_50166_2,0.205,870
k121_1686166_1,0.000,867
k121_660679_2,0.312,864
k121_1269806_2,0.000,852
k121_185419_2,2.678,852
k121_790124_1,0.422,849
k121_895379_1,3.048,849
k121_495553_2,0.512,849
k121_1494871_1,0.000,843
k121_1704035_1,2.919,831
k121_981513_1,5.408,834
k121_115983_6,33.441,828
k121_670656_5,0.000,825
k121_255479_3,2.096,825
k121_893075_2,0.000,825
k121_724130_4,0.000,822
k121_1330000_1,2.345,822
k121_1085118_2,0.000,819
k121_270992_7,44.011,816
k121_1292698_3,0.551,816
k121_178939_6,1.586,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.000,798
k121_205890_1,0.346,783
k121_1602733_1,0.000,777
k121_667899_1,0.193,771
k121_816922_1,0.685,768
k121_50545_1,1.192,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,0.493,738
k121_1272857_1,9.351,732
k121_40257_1,3.917,723
k121_339048_1,15.174,714
k121_1082478_2,4.003,699
k121_238593_1,0.315,696
k121_1294233_4,1.764,681
k121_942206_1,0.836,675
k121_370213_1,2.208,654
k121_1290865_1,1.621,642
k121_42076_1,1.839,639
k121_900900_5,0.948,633
k121_1288254_1,2.934,621
k121_611494_1,4.155,621
k121_479849_1,0.583,606
k121_1282450_2,0.000,597
k121_1092380_2,0.000,597
k121_401896_1,0.000,534
k121_1956670_1,3.478,525
k121_438003_1,0.000,474
k121_1788674_3,0.273,465
k121_796109_1,2.486,360
k121_906279_2,0.933,357
k121_1361241_2,0.370,324
