Name,Average.coverage,Reference.length
k121_1708036_69,20.024,3180
k121_15532_6,6.813,3180
k121_686909_81,18.273,3165
k121_1643710_7,5.419,3111
k121_64041_9,11.297,3054
k121_466249_1,21.917,2379
k121_357241_1,25.905,2232
k121_764851_3,4.399,2001
k121_1229424_2,0.000,1974
k121_580500_2,0.251,1920
k121_1049150_7,0.209,1920
k121_566136_4,2.018,1644
k121_1638165_15,0.743,1527
k121_1246460_4,1.575,1491
k121_302252_1,32.673,1326
k121_118679_6,0.107,1305
k121_1488741_1,29.654,1296
k121_731759_3,0.111,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.370,1215
k121_1299587_5,0.615,1188
k121_1655639_2,0.718,1176
k121_965840_2,0.195,1176
k121_1643710_6,0.000,1170
k121_1423813_2,0.643,1167
k121_68825_2,1.130,1068
k121_1273179_10,18.780,1062
k121_1057301_2,5.447,1008
k121_1046017_2,0.146,1005
k121_1259309_2,26.965,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.700,930
k121_1589252_3,5.137,927
k121_997836_1,0.115,915
k121_671215_2,0.662,906
k121_500579_3,103.224,897
k121_1809809_1,0.000,891
k121_858589_5,0.355,888
k121_538461_3,5.640,885
k121_736202_1,3.226,885
k121_79954_69,7.940,882
k121_1519353_3,4.539,882
k121_58970_1,1.932,882
k121_1762969_1,9.686,876
k121_252136_5,1.199,876
k121_255520_3,0.131,870
k121_50166_2,9.555,870
k121_1686166_1,0.000,867
k121_660679_2,0.000,864
k121_1269806_2,0.000,852
k121_185419_2,4.528,852
k121_790124_1,3.388,849
k121_895379_1,4.728,849
k121_495553_2,1.074,849
k121_1494871_1,0.089,843
k121_1704035_1,4.901,831
k121_981513_1,24.620,834
k121_115983_6,2.447,828
k121_670656_5,0.000,825
k121_255479_3,5.610,825
k121_893075_2,0.000,825
k121_724130_4,0.787,822
k121_1330000_1,1.095,822
k121_1085118_2,0.000,819
k121_270992_7,2.735,816
k121_1292698_3,0.599,816
k121_178939_6,4.082,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.150,798
k121_205890_1,0.000,783
k121_1602733_1,0.000,777
k121_667899_1,0.235,771
k121_816922_1,0.000,768
k121_50545_1,1.622,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,2.558,738
k121_1272857_1,47.276,732
k121_40257_1,0.000,723
k121_339048_1,16.049,714
k121_1082478_2,1.598,699
k121_238593_1,1.293,696
k121_1294233_4,12.952,681
k121_942206_1,0.382,675
k121_370213_1,3.491,654
k121_1290865_1,5.928,642
k121_42076_1,0.166,639
k121_900900_5,1.046,633
k121_1288254_1,3.517,621
k121_611494_1,3.274,621
k121_479849_1,5.216,606
k121_1282450_2,0.000,597
k121_1092380_2,1.214,597
k121_401896_1,0.391,534
k121_1956670_1,2.358,525
k121_438003_1,0.633,474
k121_1788674_3,2.738,465
k121_796109_1,16.914,360
k121_906279_2,0.000,357
k121_1361241_2,1.722,324
