Name,Average.coverage,Reference.length
k121_1708036_69,6.450,3180
k121_15532_6,3.187,3180
k121_686909_81,6.096,3165
k121_1643710_7,2.442,3111
k121_64041_9,5.660,3054
k121_466249_1,7.634,2379
k121_357241_1,8.473,2232
k121_764851_3,2.214,2001
k121_1229424_2,1.937,1974
k121_580500_2,2.374,1920
k121_1049150_7,0.908,1920
k121_566136_4,5.230,1644
k121_1638165_15,0.088,1527
k121_1246460_4,0.663,1491
k121_302252_1,7.523,1326
k121_118679_6,0.000,1305
k121_1488741_1,0.000,1296
k121_731759_3,0.098,1239
k121_1365491_2,0.348,1218
k121_724130_3,0.000,1215
k121_1299587_5,1.284,1188
k121_1655639_2,1.013,1176
k121_965840_2,0.000,1176
k121_1643710_6,0.000,1170
k121_1423813_2,4.421,1167
k121_68825_2,14.857,1068
k121_1273179_10,0.000,1062
k121_1057301_2,38.385,1008
k121_1046017_2,2.487,1005
k121_1259309_2,13.246,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,0.851,930
k121_1589252_3,0.000,927
k121_997836_1,5.649,915
k121_671215_2,13.770,906
k121_500579_3,36.595,897
k121_1809809_1,0.000,891
k121_858589_5,11.818,888
k121_538461_3,12.327,885
k121_736202_1,3.373,885
k121_79954_69,14.940,882
k121_1519353_3,3.219,882
k121_58970_1,1.120,882
k121_1762969_1,7.767,876
k121_252136_5,25.037,876
k121_255520_3,0.560,870
k121_50166_2,0.057,870
k121_1686166_1,0.519,867
k121_660679_2,5.637,864
k121_1269806_2,1.304,852
k121_185419_2,0.695,852
k121_790124_1,0.918,849
k121_895379_1,10.194,849
k121_495553_2,1.066,849
k121_1494871_1,0.478,843
k121_1704035_1,0.844,831
k121_981513_1,27.131,834
k121_115983_6,11.355,828
k121_670656_5,0.000,825
k121_255479_3,3.166,825
k121_893075_2,0.000,825
k121_724130_4,0.000,822
k121_1330000_1,24.726,822
k121_1085118_2,0.000,819
k121_270992_7,12.266,816
k121_1292698_3,5.390,816
k121_178939_6,2.283,816
k121_1325277_1,0.000,804
k121_790052_6,3.203,804
k121_210290_1,0.000,798
k121_205890_1,1.529,783
k121_1602733_1,0.968,777
k121_667899_1,0.000,771
k121_816922_1,2.685,768
k121_50545_1,2.432,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,1.221,738
k121_1272857_1,11.862,732
k121_40257_1,1.837,723
k121_339048_1,11.050,714
k121_1082478_2,5.167,699
k121_238593_1,0.684,696
k121_1294233_4,1.931,681
k121_942206_1,1.037,675
k121_370213_1,0.893,654
k121_1290865_1,3.243,642
k121_42076_1,0.166,639
k121_900900_5,2.011,633
k121_1288254_1,3.510,621
k121_611494_1,6.356,621
k121_479849_1,0.175,606
k121_1282450_2,0.000,597
k121_1092380_2,0.152,597
k121_401896_1,0.399,534
k121_1956670_1,1.128,525
k121_438003_1,0.000,474
k121_1788674_3,0.716,465
k121_796109_1,42.344,360
k121_906279_2,8.989,357
k121_1361241_2,0.898,324
